N,integral
464,19.3219
465,19.6388
466,19.6559
467,19.2216
468,18.9069
469,18.5593
470,18.0304
471,17.9364
472,18.3412
473,18.399
474,18.712
475,20.0367
476,17.3492
477,17.2508
478,17.5523
479,17.951
480,19.571
481,19.0338
482,18.4703
483,18.3356
484,19.2121
485,19.8955
486,19.0834
487,19.158
488,19.0358
489,19.5186
490,18.9492
491,19.533
492,19.2845
493,19.414
494,20.0634
495,19.6297
496,18.3463
497,17.8077
498,18.6441
499,18.8273
500,18.4357
501,18.561
502,18.8132
503,18.6388
504,18.3963
505,18.6114
506,19.7287
507,18.0842
508,17.8512
509,19.1627
510,18.4201
511,18.4408
512,18.6385
513,18.8966
514,19.3445
515,18.3083
516,18.8163
517,19.8108
518,19.6501
519,18.9815
520,18.8861
521,17.1962
522,18.207
523,18.8872
524,18.0354
525,17.9244
526,19.4696
527,18.6868
528,19.1522
529,18.978
530,19.2461
531,18.8177
532,18.4948
533,18.2545
534,18.6275
535,19.5587
536,19.7689
537,17.9394
538,19.4011
539,19.5948
540,18.1212
541,17.6182
542,18.967
543,19.3896
544,18.3606
545,18.2723
546,18.9541
547,18.5732
548,19.0548
549,17.933
550,19.0095
551,18.6727
552,18.7986
553,18.9356
554,19.0787
555,17.3182
556,18.0755
557,18.6295
558,18.0386
559,19.3149
560,19.8089
561,18.271
562,19.6279
563,18.5186
564,18.5409
565,18.5133
566,19.1328
567,19.1728
568,18.1874
569,18.8583
570,17.3152
571,18.7587
572,18.5911
573,18.0779
574,19.2585
575,18.1107
576,19.1177
577,18.0645
578,17.6565
579,19.4191
580,18.1486
581,18.3266
582,18.1168
583,18.7235
584,18.4546
585,19.1967
586,18.2149
587,19.0923
588,18.794
589,18.8302
590,19.098
591,19.09
592,18.4915
593,18.8281
594,17.9265
595,18.0079
596,18.6833
597,19.8019
598,18.2819
599,19.0342
600,18.8651
601,18.5558
602,19.2282
603,18.9797
604,18.5241
605,19.535
606,19.268
607,19.2831
608,19.1285
609,19.0851
610,19.1669
611,19.0614
612,18.5053
613,18.1889
614,19.195
615,18.1652
616,18.929
617,19.103
618,19.0984
619,18.9576
620,19.2196
621,17.5882
622,19.5977
623,18.3763
624,19.0026
625,19.6571
626,19.1078
627,19.506
628,19.2717
629,19.0067
630,17.9442
631,18.5484
632,18.6634
633,18.7992
634,18.6817
635,17.8736
636,19.0445
637,19.1012
638,19.0778
639,18.6698
640,18.9034
641,18.9148
642,18.9911
643,18.359
644,18.8906
645,19.0456
646,18.1768
647,18.2723
648,17.8277
649,19.0985
650,19.135
651,19.4047
652,19.0788
653,19.4621
654,18.0431
655,18.8785
656,19.242
657,19.5815
658,18.0672
659,18.8603
660,18.8703
661,18.8773
662,18.894
663,18.224
664,18.4348
665,18.6202
666,18.7644
667,18.7672
668,19.7301
669,18.257
670,18.2697
671,18.4323
672,18.7005
673,18.3805
674,18.5454
675,18.1615
676,18.5277
677,18.121
678,18.7413
679,19.4178
680,18.6089
681,18.4218
682,18.9818
683,18.5297
684,18.1057
685,19.1559
686,18.2869
687,18.4965
688,18.9048
689,19.1147
690,18.6702
691,18.7346
692,18.5272
693,18.819
694,18.7728
695,18.9045
696,19.8688
697,18.8821
698,18.2478
699,17.6781
700,19.4429
701,18.6338
702,18.2085
703,18.5577
704,19.2266
705,18.4211
706,17.1351
707,19.3044
708,18.2498
709,17.848
710,18.6048
711,18.5221
712,19.3716
713,18.8543
714,18.8628
715,18.5831
716,19.3348
717,18.1314
718,18.5658
719,18.5722
720,17.9607
721,19.0869
722,18.5911
723,18.8524
724,18.7393
725,18.0211
726,18.6811
727,18.777
728,17.6687
729,18.8875
730,18.5313
731,19.241
732,18.966
733,18.8817
734,19.1375
735,18.8038
736,18.7561
737,18.5623
738,19.0059
739,19.4977
740,19.2058
741,18.93
742,19.0187
743,18.5236
744,17.9163
745,18.7347
746,18.5422
747,18.6062
748,18.8226
749,18.9433
750,18.5562
751,18.7558
752,18.5552
753,18.9385
754,18.3619
755,18.0668
756,17.8847
757,17.5601
758,18.8259
759,18.9488
760,19.3855
761,19.3084
762,19.3783
763,17.9209
764,18.8205
765,19.0373
766,19.122
767,19.5349
768,18.2688
769,18.983
770,18.6703
771,19.3842
772,18.6237
773,19.1997
774,19.2464
775,18.6787
776,19.6317
777,19.5625
778,18.4789
779,18.5001
780,18.2345
781,19.4046
782,18.6558
783,18.2699
784,18.2984
785,18.6888
786,18.8307
787,18.8096
788,18.8297
789,18.9115
790,18.1214
791,19.055
792,18.6754
793,17.9696
794,18.7008
795,18.206
796,19.1182
797,18.7153
798,18.4624
799,18.6484
800,18.9202
801,19.3428
802,19.3185
803,18.6196
804,18.8634
805,19.5673
806,18.6155
807,19.4202
808,18.8522
809,18.4601
810,18.8115
811,18.3672
812,18.8961
813,18.6651
814,19.1763
815,18.464
816,19.0154
817,18.3505
818,18.4077
819,18.6979
820,18.8323
821,18.4334
822,19.1861
823,18.3447
824,19.197
825,18.7103
826,18.7894
827,18.0507
828,19.0353
829,18.4536
830,17.6203
831,18.3286
832,18.5492
833,18.6683
834,18.5221
835,19.3055
836,18.6426
837,19.6679
838,19.2564
839,18.3181
840,18.7444
841,18.882
842,18.1286
843,19.2748
844,19.3009
845,18.7735
846,18.9974
847,18.5775
848,18.5912
849,18.6914
850,18.8856
851,18.1029
852,18.8691
853,19.0084
854,18.5592
855,18.5701
856,18.6821
857,18.7769
858,19.1699
859,18.5947
860,18.129
861,19.366
862,18.5007
863,18.5265
864,19.524
865,19.5223
866,18.7596
867,19.0376
868,18.9442
869,19.1955
870,18.23
871,18.6763
872,18.7278
873,18.9617
874,18.514
875,18.3923
876,18.922
877,18.2801
878,18.9226
879,19.2674
880,19.1452
881,18.5347
882,19.1882
883,17.6717
884,18.232
885,18.6125
886,18.0485
887,18.4978
888,18.1363
889,18.2119
890,18.8221
891,18.7703
892,18.6888
893,19.5186
894,18.7404
895,18.935
896,18.4893
897,18.9607
898,18.8173
899,18.402
900,18.9692
901,18.0665
902,18.4939
903,19.1699
904,18.7164
905,19.2746
906,18.6653
907,18.8218
908,18.4557
909,18.9679
910,18.5947
911,19.1363
912,18.3939
913,18.7385
914,18.4511
915,18.124
916,18.3015
917,18.5349
918,18.7708
919,19.5414
920,19.1868
921,18.9972
922,18.9291
923,19.1341
924,18.7652
925,18.6471
926,18.4973
927,18.5254
928,18.8055
929,18.5096
930,18.2781
931,19.2426
932,18.7427
933,18.3169
934,18.6836
935,19.1112
936,19.1152
937,18.047
938,19.1376
939,17.8215
940,17.9938
941,18.3719
942,18.7181
943,19.2592
944,19.0612
945,18.6319
946,18.107
947,18.8607
948,18.6136
949,18.4032
950,19.6607
951,18.5259
952,18.0812
953,18.3361
954,18.5354
955,18.4635
