N,relError
409,0.0536121
410,0.0158325
411,0.000328859
412,0.0015204
413,0.0275707
414,0.0284949
415,0.10498
416,0.00254062
417,0.00527637
418,0.0244611
419,0.0113654
420,0.0197676
421,0.0100381
422,0.00340227
423,0.000751915
424,0.00133742
425,0.0224227
426,0.0055935
427,0.00388504
428,0.0135014
429,0.0178285
430,0.0193256
431,0.0314132
432,0.0209228
433,0.0377088
434,0.0469401
435,0.00423316
436,0.0504138
437,0.0221235
438,0.0267702
439,0.023265
440,0.0198995
441,0.0123604
442,0.00727859
443,0.0871353
444,0.00295163
445,0.0171302
446,0.00221188
447,0.0259559
448,0.0377108
449,0.00350387
450,0.0340435
451,0.0293828
452,0.0212423
453,0.0238396
454,0.0406791
455,0.0451288
456,0.0410408
457,0.0250883
458,0.0587649
459,0.0647852
460,0.0121079
461,0.00085584
462,0.00963137
463,0.0274558
464,0.0305012
465,0.0474028
466,0.0483128
467,0.0251531
468,0.00836652
469,0.0101692
470,0.0383806
471,0.0433927
472,0.0218016
473,0.0187206
474,0.0020274
475,0.0686228
476,0.0747073
477,0.0799566
478,0.0638785
479,0.0426115
480,0.043788
481,0.015137
482,0.0149176
483,0.0221016
484,0.024646
485,0.0610924
486,0.0177824
487,0.0217575
488,0.0152419
489,0.0409933
490,0.0106244
491,0.0417582
492,0.0285058
493,0.0354135
494,0.0700461
495,0.0469196
496,0.0215283
497,0.0502551
498,0.00564922
499,0.00412163
500,0.0167614
501,0.0100821
502,0.00336976
503,0.00593278
504,0.0188659
505,0.00739072
506,0.0521981
507,0.0355081
508,0.0479343
509,0.0220126
510,0.0175971
511,0.0164894
512,0.0059491
513,0.00781784
514,0.0317044
515,0.0235598
516,0.00353509
517,0.0565769
518,0.0480067
519,0.0123477
520,0.00725786
521,0.0828671
522,0.0289582
523,0.00731792
524,0.0381125
525,0.0440306
526,0.0383811
527,0.0033713
528,0.0214523
529,0.0121592
530,0.0264566
531,0.0036113
532,0.0136082
533,0.0264277
534,0.00653297
535,0.0431285
536,0.0543419
537,0.0432327
538,0.0347227
539,0.045055
540,0.0335339
541,0.0603653
542,0.0115711
543,0.0341122
544,0.0207672
545,0.0254759
546,0.0108835
547,0.00943002
548,0.0162582
549,0.0435746
550,0.0138392
551,0.00412204
552,0.00258966
553,0.00989898
554,0.0175303
555,0.076362
556,0.0359717
557,0.00642541
558,0.037941
559,0.0301278
560,0.056476
561,0.0255441
562,0.0468216
563,0.0123421
564,0.0111497
565,0.0126234
566,0.0204149
567,0.0225511
568,0.030006
569,0.00577832
570,0.0765219
571,0.000466294
572,0.0084771
573,0.0358436
574,0.0271206
575,0.0340947
576,0.0196093
577,0.0365596
578,0.0583203
579,0.0356869
580,0.032073
581,0.0225817
582,0.0337707
583,0.00141086
584,0.0157531
585,0.0238266
586,0.028541
587,0.0182564
588,0.00234886
589,0.00427903
590,0.0185621
591,0.0181353
592,0.0137869
593,0.00416382
594,0.0439203
595,0.0395812
596,0.003558
597,0.0560996
598,0.0249668
599,0.0151595
600,0.00613794
601,0.0103597
602,0.0255021
603,0.0122496
604,0.0120464
605,0.0418642
606,0.0276277
607,0.0284345
608,0.0201889
609,0.0178732
610,0.0222358
611,0.0166094
612,0.0130481
613,0.0299257
614,0.0237325
615,0.031192
616,0.00954485
617,0.0188288
618,0.0185837
619,0.0110724
620,0.0250433
621,0.0619652
622,0.0452109
623,0.019933
624,0.0134729
625,0.0483807
626,0.0190827
627,0.0403195
628,0.0278249
629,0.013689
630,0.0429778
631,0.0107502
632,0.00461907
633,0.00262564
634,0.0036423
635,0.0467387
636,0.0157089
637,0.0187317
638,0.0174813
639,0.00427997
640,0.00817924
641,0.00878753
642,0.0128585
643,0.0208543
644,0.00750049
645,0.0157656
646,0.0305716
647,0.0254786
648,0.0491883
649,0.0185847
650,0.0205311
