0.42265,-0.0155658,0.898327,0.007614874.92572,-0.000771302,0.50629,0.00788443
0.407021,-0.0156912,0.905806,0.007342184.92495,-0.000783307,0.514174,0.00788318
0.391269,-0.0158118,0.913011,0.007067494.92416,-0.000795309,0.522056,0.00788192
0.375399,-0.0159275,0.91994,0.006790884.92336,-0.000807309,0.529937,0.00788064
0.359415,-0.0160383,0.926592,0.006512464.92254,-0.000819306,0.537817,0.00787934
0.343324,-0.0161442,0.932964,0.00623234.92172,-0.000831302,0.545696,0.00787802
0.327129,-0.0162451,0.939056,0.00595054.92088,-0.000843295,0.553573,0.00787668
0.310835,-0.016341,0.944865,0.005667144.92003,-0.000855285,0.561449,0.00787532
0.294448,-0.016432,0.95039,0.005382314.91917,-0.000867274,0.569324,0.00787394
0.277973,-0.016518,0.955629,0.005096114.9183,-0.000879259,0.577197,0.00787255
0.261414,-0.0165989,0.960582,0.004808624.91741,-0.000891243,0.585069,0.00787113
0.244777,-0.0166748,0.965246,0.004519934.91651,-0.000903224,0.59294,0.00786969
0.228066,-0.0167456,0.969621,0.004230134.9156,-0.000915202,0.600809,0.00786824
0.211287,-0.0168113,0.973706,0.003939324.91468,-0.000927178,0.608676,0.00786677
0.194445,-0.016872,0.977499,0.003647574.91375,-0.000939151,0.616542,0.00786527
0.177545,-0.0169276,0.981001,0.003354994.9128,-0.000951121,0.624407,0.00786376
0.160592,-0.016978,0.984209,0.003061664.91185,-0.000963089,0.63227,0.00786223
0.143591,-0.0170234,0.987124,0.002767664.91088,-0.000975054,0.640131,0.00786068
0.126547,-0.0170637,0.989744,0.00247314.9099,-0.000987017,0.647991,0.00785911
0.109465,-0.0170988,0.99207,0.002178064.9089,-0.000998976,0.655849,0.00785752
0.0923508,-0.0171288,0.9941,0.001882624.9079,-0.00101093,0.663706,0.00785592
0.0752091,-0.0171537,0.995835,0.001586894.90688,-0.00102289,0.671561,0.00785429
0.058045,-0.0171735,0.997274,0.001290944.90585,-0.00103484,0.679415,0.00785265
0.0408638,-0.0171882,0.998417,0.0009948634.90481,-0.00104679,0.687266,0.00785098
0.0236704,-0.0171977,0.999264,0.0006987534.90376,-0.00105873,0.695117,0.0078493
0.00646996,-0.0172022,0.999814,0.0004026944.9027,-0.00107067,0.702965,0.0078476
-0.0107324,-0.0172016,1.00007,0.0001067754.90162,-0.00108261,0.710812,0.00784587
-0.0279315,-0.0171959,1.00003,-0.0001889174.90053,-0.00109455,0.718657,0.00784413
-0.0451224,-0.0171851,0.999691,-0.0004842964.89943,-0.00110648,0.7265,0.00784237
-0.0623,-0.0171692,0.99906,-0.0007792734.89832,-0.00111841,0.734341,0.00784059
-0.0794592,-0.0171483,0.998133,-0.001073764.89719,-0.00113034,0.742181,0.0078388
-0.0965949,-0.0171224,0.996912,-0.001367684.89606,-0.00114226,0.750019,0.00783698
-0.113702,-0.0170914,0.995398,-0.001660944.89491,-0.00115419,0.757855,0.00783514
-0.130776,-0.0170555,0.993591,-0.001953464.89375,-0.0011661,0.765689,0.00783329
-0.147812,-0.0170145,0.991491,-0.002245154.89258,-0.00117802,0.773522,0.00783141
-0.164804,-0.0169686,0.989101,-0.002535934.89139,-0.00118993,0.781352,0.00782952
-0.181747,-0.0169178,0.98642,-0.002825724.8902,-0.00120184,0.789181,0.00782761
-0.198638,-0.0168621,0.983449,-0.003114434.88899,-0.00121374,0.797007,0.00782568
-0.21547,-0.0168014,0.980191,-0.003401984.88777,-0.00122564,0.804832,0.00782373
-0.232239,-0.0167359,0.976646,-0.003688294.88654,-0.00123754,0.812655,0.00782176
-0.24894,-0.0166656,0.972815,-0.003973284.88529,-0.00124943,0.820476,0.00781977
-0.265568,-0.0165904,0.9687,-0.004256874.88404,-0.00126132,0.828294,0.00781777
-0.282119,-0.0165105,0.964302,-0.004538984.88277,-0.00127321,0.836111,0.00781574
-0.298588,-0.0164258,0.959622,-0.004819534.88149,-0.00128509,0.843926,0.0078137
