2,2,4
2,3,3
2,4,4
2,5,4
2,6,5
2,7,7
2,8,9
2,9,11
2,10,13
2,11,14
2,12,28
2,13,20
2,14,24
2,15,27
2,16,32
2,17,27
2,18,30
2,19,34
2,20,43
3,2,3
3,3,4
3,4,6
3,5,8
3,6,13
3,7,18
3,8,23
3,9,30
3,10,42
3,11,52
3,12,62
3,13,74
3,14,89
3,15,105
3,16,124
3,17,145
3,18,168
3,19,192
3,20,224
4,2,4
4,3,7
4,4,13
4,5,20
4,6,35
4,7,77
4,8,62
4,9,84
4,10,106
4,11,132
4,12,173
4,13,218
4,14,253
4,15,322
4,16,365
4,17,431
4,18,496
4,19,583
4,20,663
5,2,8
5,3,17
5,4,27
5,5,42
5,6,63
5,7,90
5,8,124
5,9,168
5,10,213
5,11,279
5,12,359
5,13,450
5,14,555
5,15,657
5,16,807
5,17,957
5,18,1118
5,19,1228
5,20,1698
6,2,10
6,3,21
6,4,39
6,5,65
6,6,103
6,7,182
6,8,224
6,9,301
6,10,409
6,11,526
6,12,649
6,13,828
6,14,1019
6,15,1238
6,16,1452
6,17,1819
6,18,2069
6,19,2467
6,20,2774
7,2,26
7,3,33
7,4,62
7,5,106
7,6,167
7,7,271
7,8,350
7,9,492
7,10,690
7,11,916
7,12,1085
7,13,1387
7,14,1749
7,15,2074
7,16,2448
7,17,2949
7,18,3430
7,19,3932
7,20,4633
8,2,19
8,3,51
8,4,87
8,5,161
8,6,258
8,7,389
8,8,531
8,9,741
8,10,997
8,11,1303
8,12,4342
8,13,2054
8,14,3642
8,15,3069
8,16,3729
8,17,5564
8,18,6884
8,19,6260
8,20,8753
9,2,23
9,3,68
9,4,123
9,5,219
9,6,358
9,7,545
9,8,779
9,9,1080
9,10,1489
9,11,1886
9,12,2415
9,13,4076
9,14,3953
9,15,4676
9,16,5488
9,17,6538
9,18,7605
9,19,10511
9,20,10939
10,2,39
10,3,80
10,4,165
10,5,301
10,6,489
10,7,745
10,8,1093
10,9,1529
10,10,2034
10,11,2685
10,12,3429
10,13,4351
10,14,5168
10,15,7442
10,16,7808
10,17,9328
10,18,11351
10,19,12675
10,20,14939
11,2,47
11,3,110
11,4,383
11,5,389
11,6,660
11,7,1012
11,8,1449
11,9,2025
11,10,2794
11,11,3572
11,12,4692
11,13,5760
11,14,7020
11,15,8679
11,16,10460
11,17,14152
11,18,15834
11,19,18645
11,20,20996
12,2,64
12,3,132
12,4,496
12,5,517
12,6,854
12,7,1352
12,8,1900
12,9,2600
12,10,3622
12,11,6227
12,12,7381
12,13,7581
12,14,9376
12,15,12539
12,16,13882
12,17,17513
12,18,19565
12,19,23794
12,20,27717
13,2,67
13,3,162
13,4,360
13,5,662
13,6,1083
13,7,1827
13,8,2467
13,9,3574
13,10,4618
13,11,5960
13,12,7667
13,13,10816
13,14,11968
13,15,14817
13,16,17971
13,17,21364
13,18,26479
13,19,31151
13,20,35602
14,2,129
14,3,209
14,4,447
14,5,817
14,6,1379
14,7,2075
14,8,3125
14,9,4210
14,10,5760
14,11,7494
14,12,10965
14,13,12411
14,14,15018
14,15,19563
14,16,23503
14,17,29075
14,18,32696
14,19,39158
14,20,45886
15,2,85
15,3,249
15,4,591
15,5,1007
15,6,1704
15,7,2553
15,8,3670
15,9,5272
15,10,6961
15,11,9324
15,12,17427
15,13,15445
15,14,19216
15,15,24832
15,16,31607
15,17,35027
15,18,40264
15,19,52024
15,20,55147
16,2,109
16,3,435
16,4,667
16,5,1235
16,6,2010
16,7,3168
16,8,4658
16,9,6646
16,10,8844
16,11,11564
16,12,15391
16,13,18844
16,14,24284
16,15,28706
16,16,37417
16,17,44085
16,18,49312
16,19,58714
16,20,70036
17,2,311
17,3,360
17,4,782
17,5,1453
17,6,2432
17,7,3689
17,8,6764
17,9,8634
17,10,10265
17,11,14514
17,12,18204
17,13,23462
17,14,28772
17,15,35737
17,16,44130
17,17,52380
17,18,58564
17,19,72162
