2,2,6
2,3,5
2,4,5
2,5,9
2,6,11
2,7,12
2,8,15
2,9,17
2,10,21
2,11,67
2,12,13
2,13,15
2,14,18
2,15,20
2,16,23
2,17,26
2,18,29
2,19,34
2,20,38
3,2,3
3,3,5
3,4,7
3,5,9
3,6,13
3,7,17
3,8,23
3,9,29
3,10,38
3,11,49
3,12,68
3,13,74
3,14,89
3,15,106
3,16,125
3,17,146
3,18,176
3,19,198
3,20,319
4,2,5
4,3,10
4,4,17
4,5,28
4,6,43
4,7,63
4,8,65
4,9,81
4,10,103
4,11,133
4,12,167
4,13,200
4,14,256
4,15,309
4,16,361
4,17,433
4,18,505
4,19,572
4,20,671
5,2,6
5,3,13
5,4,23
5,5,37
5,6,59
5,7,104
5,8,133
5,9,171
5,10,226
5,11,276
5,12,358
5,13,454
5,14,556
5,15,652
5,16,785
5,17,961
5,18,1089
5,19,1260
5,20,2261
6,2,13
6,3,30
6,4,42
6,5,63
6,6,103
6,7,154
6,8,227
6,9,305
6,10,397
6,11,516
6,12,650
6,13,1438
6,14,1004
6,15,1206
6,16,1464
6,17,1709
6,18,2015
6,19,4030
6,20,2704
7,2,21
7,3,32
7,4,60
7,5,109
7,6,166
7,7,257
7,8,613
7,9,486
7,10,651
7,11,863
7,12,1105
7,13,1404
7,14,1731
7,15,2003
7,16,2372
7,17,2828
7,18,3345
7,19,4171
7,20,4565
8,2,17
8,3,64
8,4,90
8,5,154
8,6,256
8,7,380
8,8,542
8,9,755
8,10,1004
8,11,2115
8,12,1626
8,13,2046
8,14,2519
8,15,3068
8,16,3700
8,17,4691
8,18,5605
8,19,6882
8,20,7751
9,2,52
9,3,67
9,4,129
9,5,220
9,6,355
9,7,537
9,8,789
9,9,1083
9,10,1436
9,11,1959
9,12,3313
9,13,3117
9,14,3790
9,15,5827
9,16,5435
9,17,6835
9,18,9598
9,19,9854
9,20,10340
10,2,43
10,3,101
10,4,289
10,5,299
10,6,481
10,7,727
10,8,1090
10,9,2564
10,10,2012
10,11,2595
10,12,3358
10,13,4172
10,14,6490
10,15,7821
10,16,8083
10,17,9648
10,18,12399
10,19,17758
10,20,16472
11,2,60
11,3,113
11,4,220
11,5,396
11,6,679
11,7,1729
11,8,1464
11,9,2108
11,10,2945
11,11,5313
11,12,4626
11,13,5659
11,14,7004
11,15,10099
11,16,11294
11,17,13750
11,18,16574
11,19,18356
11,20,21391
12,2,53
12,3,174
12,4,288
12,5,557
12,6,855
12,7,1278
12,8,1849
12,9,2615
12,10,3593
12,11,4654
12,12,5936
12,13,8149
12,14,10645
12,15,11444
12,16,15439
12,17,17639
12,18,20683
12,19,23820
12,20,28228
13,2,71
13,3,167
13,4,529
13,5,650
13,6,1089
13,7,1626
13,8,2382
13,9,3525
13,10,4502
13,11,5959
13,12,7712
13,13,10707
13,14,12356
13,15,14846
13,16,18818
13,17,23703
13,18,28113
13,19,30729
13,20,37094
14,2,84
14,3,220
14,4,453
14,5,820
14,6,1361
14,7,2097
14,8,3488
14,9,4233
14,10,5852
14,11,7574
14,12,9922
14,13,12210
14,14,16786
14,15,20063
14,16,23782
14,17,29089
14,18,33219
14,19,40267
14,20,45684
15,2,98
15,3,253
15,4,797
15,5,1041
15,6,1662
15,7,3366
15,8,3744
15,9,5163
15,10,7013
15,11,9404
15,12,13459
15,13,16446
15,14,20051
15,15,24409
15,16,29809
15,17,35778
15,18,41374
15,19,47752
